Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Running Time (min),Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
Blazing Saddles,119500000,119500000,NA,2600000,1-Jan-74,NA,NA,Warner Bros.,Original Screenplay,Comedy,NA,Mel Brooks,89,7.8,45771
The Basket,609042,609042,NA,1300000,5-May-00,PG,NA,MGM,Original Screenplay,Drama,NA,NA,NA,6.3,343
Bathing Beauty,3500000,3500000,NA,2361000,NA,NA,NA,MGM,Original Screenplay,Musical,NA,NA,NA,6.2,487
Bill & Ted's Excellent Adventure,39916091,39916091,NA,10000000,17-Feb-89,NA,NA,Orion Pictures,Original Screenplay,Comedy,Science Fiction,Stephen Herek,81,6.7,30341
A Bridge Too Far,50800000,50800000,NA,26000000,15-Jun-77,NA,NA,MGM,Based on Book/Short Story,Action,NA,Sir Richard Attenborough,67,7.3,16882
Beetle Juice,73326666,73326666,NA,15000000,30-Mar-88,NA,NA,Warner Bros.,Original Screenplay,Comedy,Fantasy,Tim Burton,NA,7.3,61197
Batman Returns,162831698,266822354,NA,80000000,18-Jun-92,PG-13,NA,Warner Bros.,Original Screenplay,Action,Super Hero,Tim Burton,78,6.9,78673
Batman Forever,184031112,336529144,NA,100000000,16-Jun-95,PG-13,NA,Warner Bros.,Original Screenplay,Action,Super Hero,Joel Schumacher,43,5.4,76218
Batman,251188924,411348924,NA,35000000,23-Jun-89,PG-13,NA,Warner Bros.,Based on Comic/Graphic Novel,Action,Super Hero,Tim Burton,71,7.6,111464
Buffy the Vampire Slayer,14231669,14231669,NA,7000000,31-Jul-92,NA,NA,20th Century Fox,Original Screenplay,Horror,Fantasy,NA,32,5.3,16056
Bienvenue chez les Ch'tis,1470856,243470856,NA,16000000,25-Jul-08,Not Rated,109,Link Productions Ltd.,Original Screenplay,Comedy,Contemporary Fiction,NA,NA,7,7129
Beyond the Valley of the Dolls,9000000,9000000,NA,1000000,1-Jan-70,NA,NA,20th Century Fox,Original Screenplay,Comedy,NA,NA,68,5.7,4626
Broken Vessels,15030,85343,NA,600000,2-Jul-99,R,NA,NA,Original Screenplay,Drama,NA,NA,NA,6.4,399
The Boys from Brazil,19000000,19000000,NA,12000000,NA,NA,NA,20th Century Fox,Based on Book/Short Story,Thriller/Suspense,NA,Franklin J. Schaffner,65,7,8741
The Business of Fancy Dancing,174682,174682,NA,200000,10-May-02,Not Rated,NA,Outrider Pictures,Original Screenplay,Drama,Contemporary Fiction,NA,NA,7,355
Caddyshack,39846344,39846344,NA,6000000,25-Jul-80,NA,NA,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Harold Ramis,75,7.3,35436
