Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Running Time (min),Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
Dolphins and Whales Tribes of the Ocean 3D,7714996,17252287,NA,6000000,15-Feb-08,Not Rated,NA,3D Entertainment,Based on Real Life Events,Documentary,Factual,NA,NA,NA,NA
Down & Out with the Dolls,58936,58936,NA,1200000,21-Mar-03,R,NA,Indican Pictures,NA,NA,NA,NA,NA,5.8,75
Dream With The Fishes,542909,542909,NA,1000000,20-Jun-97,R,NA,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,NA,58,6.6,1188
Doctor Zhivago,111721000,111721000,NA,11000000,22-Dec-65,PG-13,NA,MGM,Based on Book/Short Story,Drama,Historical Fiction,David Lean,84,8,27671
The Evil Dead,2400000,29400000,NA,375000,15-Apr-83,NC-17,NA,New Line,NA,Horror,NA,Sam Raimi,NA,7.6,45030
Evil Dead II,5923044,5923044,NA,3500000,13-Mar-87,NA,NA,Rosebud Releasing,NA,Horror,Fantasy,Sam Raimi,NA,7.9,44214
Army of Darkness,11502976,21502976,NA,11000000,19-Feb-93,R,NA,Universal,NA,Horror,Fantasy,Sam Raimi,NA,7.6,55671
Ed and his Dead Mother,673,673,NA,1800000,NA,NA,NA,NA,NA,NA,NA,NA,50,5.6,829
Edward Scissorhands,53976987,53976987,NA,20000000,7-Dec-90,NA,NA,20th Century Fox,Original Screenplay,Comedy,Fantasy,Tim Burton,91,8,102485
Ed Wood,5828466,5828466,NA,18000000,30-Sep-94,R,NA,Walt Disney Pictures,Based on Book/Short Story,Comedy,Dramatization,Tim Burton,91,8.1,74171
The Egyptian,15000000,15000000,NA,5000000,NA,NA,NA,NA,NA,NA,NA,Michael Curtiz,NA,6.2,1097
Everyone Says I Love You,9725847,34600000,NA,20000000,6-Dec-96,R,NA,Miramax,Original Screenplay,Musical,Contemporary Fiction,Woody Allen,80,6.8,16481
The Elephant Man,26010864,26010864,NA,5000000,3-Oct-80,NA,NA,NA,NA,NA,NA,David Lynch,91,8.4,58194
Emma,22231658,37831658,NA,5900000,2-Aug-96,PG,111,Miramax,Based on Book/Short Story,Romantic Comedy,Historical Fiction,NA,NA,6.8,13798
Star Wars Ep. V: The Empire Strikes Back,290271960,534171960,10027926,23000000,21-May-80,PG,NA,20th Century Fox,Original Screenplay,Adventure,Science Fiction,NA,NA,NA,NA
Escape from New York,25244700,25244700,NA,6000000,10-Jul-81,NA,NA,Avco Embassy,Original Screenplay,Action,Science Fiction,John Carpenter,82,7.1,34497
Escape from L.A.,25426861,25426861,NA,50000000,9-Aug-96,R,101,Paramount Pictures,Original Screenplay,Action,Science Fiction,John Carpenter,56,5.3,23262
Escape from the Planet of the Apes,12300000,12300000,NA,2500000,NA,NA,NA,NA,NA,NA,Science Fiction,NA,78,6.1,7686
Eraser,101295562,234400000,NA,100000000,21-Jun-96,R,115,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Chuck Russell,34,5.9,37287
Eraserhead,7000000,7000000,NA,100000,NA,NA,NA,NA,NA,NA,NA,David Lynch,90,7.4,26595
Everything You Always Wanted to Know,18016290,18016290,NA,2000000,11-Aug-72,NA,NA,MGM,Based on Book/Short Story,Comedy,NA,Woody Allen,NA,NA,NA
ET: The Extra-Terrestrial,435110554,792910554,NA,10500000,11-Jun-82,PG,NA,Universal,Original Screenplay,Drama,Science Fiction,Steven Spielberg,NA,7.9,105028
Excessive Force,1152117,1152117,NA,13000000,14-May-93,NA,NA,NA,NA,NA,NA,NA,NA,4.7,537
Exorcist II: The Heretic,25011000,25011000,NA,14000000,17-Jun-77,NA,NA,NA,NA,Horror,NA,John Boorman,NA,3.5,7849
Exotica,5046118,5046118,NA,1500000,23-Sep-94,R,NA,Miramax,Original Screenplay,Drama,Contemporary Fiction,Atom Egoyan,96,7.1,8402
Force 10 from Navarone,7100000,7100000,NA,5000000,22-Dec-78,NA,NA,Sony/Columbia,NA,Action,NA,Guy Hamilton,64,6,5917
A Farewell To Arms,11000000,11000000,NA,5000000,NA,NA,NA,NA,NA,NA,NA,John Huston,NA,6.6,1655
Fatal Attraction,156645693,320100000,NA,14000000,18-Sep-87,NA,NA,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Adrian Lyne,81,6.8,22328
Family Plot,13200000,13200000,NA,3000000,9-Apr-76,NA,NA,Universal,NA,NA,NA,Alfred Hitchcock,95,6.8,7290
Fabled,31425,31425,NA,400000,10-Dec-04,R,NA,Indican Pictures,Original Screenplay,Horror,NA,Ari S. Kirschenbaum,NA,5.4,146
The French Connection,41158757,41158757,NA,2200000,9-Oct-71,NA,NA,NA,NA,NA,NA,William Friedkin,98,7.9,33674
From Dusk Till Dawn,25728961,25728961,NA,20000000,19-Jan-96,R,107,Miramax/Dimension,Original Screenplay,Horror,Fantasy,Robert Rodriguez,63,7.1,80234
Friday the 13th,39754601,59754601,NA,550000,9-May-80,NA,NA,Paramount Pictures,NA,Horror,NA,NA,60,5.6,26798
Friday the 13th Part 3,36690067,36690067,NA,2250000,13-Aug-82,NA,NA,Paramount Pictures,NA,Horror,Contemporary Fiction,Steve Miner,14,5.5,13395
Friday the 13th Part IV: The Final Chapter,32980880,32980880,NA,2600000,13-Apr-84,NA,NA,Paramount Pictures,NA,Horror,Fantasy,NA,NA,NA,NA
Friday the 13th Part V: A New Beginning,21930418,21930418,NA,2200000,22-Mar-85,NA,NA,Paramount Pictures,NA,Horror,Contemporary Fiction,NA,NA,NA,NA
Friday the 13th Part VI: Jason Lives,19472057,19472057,NA,3000000,1-Aug-86,NA,NA,Paramount Pictures,NA,Horror,Fantasy,NA,NA,NA,NA
Friday the 13th Part VII: The New Blood,19170001,19170001,NA,2800000,13-May-88,NA,NA,Paramount Pictures,NA,Horror,Fantasy,NA,NA,4.6,8916
Friday the 13th Part VIII: Jason Takes Manhattan,14343976,14343976,NA,5000000,28-Jul-89,NA,NA,Paramount Pictures,NA,Horror,Fantasy,NA,NA,3.9,10113
Jason Goes to Hell: The Final Friday,15935068,15935068,NA,3000000,13-Aug-93,NA,NA,New Line,NA,Horror,Fantasy,NA,NA,4.1,8733
Per qualche dollaro in pi˘,4300000,4300000,NA,600000,10-May-67,NA,NA,MGM,Original Screenplay,Western,Historical Fiction,Sergio Leone,NA,8.2,44204
Per un pugno di dollari,3500000,3500000,NA,200000,18-Jan-67,NA,NA,United Artists,Remake,Western,Historical Fiction,Sergio Leone,NA,8,39929
The Fall of the Roman Empire,4750000,4750000,NA,19000000,1-Jan-64,NA,NA,NA,NA,NA,NA,NA,100,6.6,3184
Friday the 13th Part 2,21722776,21722776,NA,1250000,30-Apr-81,NA,NA,NA,NA,Horror,NA,Steve Miner,33,5.5,13395
Faithful,2104439,2104439,NA,13000000,5-Apr-96,R,NA,New Line,Based on Play,Black Comedy,Contemporary Fiction,Paul Mazursky,7,5.7,989
Fair Game,11497497,11497497,NA,50000000,3-Nov-95,R,NA,Warner Bros.,Based on Book/Short Story,Action,Contemporary Fiction,NA,13,6.6,194
A Few Good Men,141340178,236500000,NA,33000000,11-Dec-92,NA,NA,Sony Pictures,Based on Play,Drama,Contemporary Fiction,Rob Reiner,83,7.6,63541
The Fugitive,183875760,368900000,NA,44000000,6-Aug-93,PG-13,NA,Warner Bros.,Based on TV,Thriller/Suspense,Contemporary Fiction,Andrew Davis,94,7.8,96914
From Here to Eternity,30500000,30500000,NA,1650000,5-Aug-53,NA,NA,NA,NA,NA,NA,Fred Zinnemann,86,7.9,15115
First Morning,87264,87264,NA,300000,15-Jul-05,PG-13,90,Illuminare,NA,Drama,NA,NA,NA,NA,NA
Shooting Fish,302204,302204,NA,4000000,1-May-98,PG,NA,Fox Searchlight,NA,NA,NA,NA,NA,6.4,4849
F.I.S.T,20388920,20388920,NA,11000000,13-Apr-78,NA,NA,United Artists,Based on Real Life Events,Drama,Dramatization,Norman Jewison,NA,6.2,2737
Flashdance,90463574,201463574,NA,7000000,15-Apr-83,NA,NA,Paramount Pictures,Original Screenplay,Drama,Contemporary Fiction,Adrian Lyne,29,5.6,12485
Fled,17192205,19892205,NA,30000000,19-Jul-96,R,98,MGM,Original Screenplay,Action,Contemporary Fiction,NA,14,4.9,4215
Flash Gordon,27107960,27107960,NA,35000000,5-Dec-80,NA,NA,Universal,Based on Comic/Graphic Novel,Action,Science Fiction,NA,81,6.2,14894
The Flintstones,130531208,358500000,NA,45000000,27-May-94,PG,NA,Universal,Based on TV,Comedy,Historical Fiction,Brian Levant,20,4.6,26521
Flight of the Intruder,14471440,14471440,NA,35000000,18-Jan-91,NA,NA,Paramount Pictures,Based on Book/Short Story,Action,Historical Fiction,John Milius,NA,5.3,2592
Flatliners,61308153,61308153,NA,26000000,10-Aug-90,R,NA,Sony Pictures,Original Screenplay,Thriller/Suspense,Science Fiction,Joel Schumacher,52,6.4,23295
The Flower of Evil,181798,181798,NA,6000000,10-Oct-03,R,NA,NA,NA,NA,NA,NA,64,NA,NA
Funny Ha Ha,77070,77070,NA,30000,29-Apr-05,Not Rated,NA,Goodbye Cruel Releasing,Original Screenplay,Comedy,NA,NA,NA,6.1,1138
The Funeral,1212799,1412799,NA,12500000,1-Nov-96,R,NA,October Films,Original Screenplay,Drama,Historical Fiction,Abel Ferrara,83,6.4,4084
Fantasia,83320000,83320000,NA,2280000,13-Nov-40,NA,NA,Walt Disney Pictures,Compilation,Musical,Multiple Creative Types,NA,98,7.8,29914
Fantasia 2000 (IMAX),60507228,60507228,NA,80000000,1-Jan-00,G,75,Walt Disney Pictures,Compilation,Musical,Kids Fiction,NA,NA,NA,NA
The Fog,21378361,21378361,NA,1000000,1-Feb-80,NA,NA,Avco Embassy,NA,Horror,NA,John Carpenter,69,3.3,15760
Forrest Gump,329694499,679400525,NA,55000000,6-Jul-94,PG-13,NA,Paramount Pictures,Based on Book/Short Story,Drama,Historical Fiction,Robert Zemeckis,70,8.6,300455
Fortress,6730578,46730578,NA,12000000,3-Sep-93,NA,NA,Miramax,Original Screenplay,Action,Science Fiction,NA,36,5.5,7026
Fiddler on the Roof,80500000,80500000,NA,9000000,1-Jan-71,NA,NA,United Artists,Based on Musical/Opera,Musical,Historical Fiction,Norman Jewison,88,7.7,14260
The Front Page,15000000,15000000,NA,4000000,17-Dec-74,NA,NA,Universal,Based on Play,Comedy,Contemporary Fiction,Billy Wilder,67,7.2,3875
First Blood,47212904,125212904,NA,14000000,22-Oct-82,R,NA,Orion Pictures,Based on Book/Short Story,Action,Contemporary Fiction,Ted Kotcheff,NA,7.4,56369
Friday,27467564,27936778,NA,3500000,26-Apr-95,R,NA,New Line,Original Screenplay,Comedy,Contemporary Fiction,F. Gary Gray,77,7,21623
Firefox,45785720,45785720,NA,21000000,18-Jun-82,NA,NA,Warner Bros.,Based on Book/Short Story,Action,Science Fiction,Clint Eastwood,42,5.6,9348
Fargo,24567751,51204567,NA,7000000,8-Mar-96,R,87,Gramercy,Based on Real Life Events,Thriller/Suspense,Contemporary Fiction,Joel Coen,94,8.3,165159
First Knight,37361412,127361412,NA,75000000,7-Jul-95,PG-13,NA,Sony Pictures,Traditional/Legend/Fairytale,Drama,Historical Fiction,Jerry Zucker,45,5.6,20928
From Russia With Love,24800000,78900000,NA,2000000,8-Apr-64,NA,NA,MGM,Based on Book/Short Story,Action,NA,NA,NA,7.5,32541
The Firm,158340892,270340892,NA,42000000,30-Jun-93,R,NA,Paramount Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Sydney Pollack,76,5.5,957
Frenzy,12600000,12600000,NA,3500000,21-Jun-72,NA,NA,Universal,NA,NA,NA,Alfred Hitchcock,87,7.5,13093
Footloose,80000000,80000000,NA,8200000,17-Feb-84,NA,NA,Paramount Pictures,Original Screenplay,Musical,Contemporary Fiction,Herbert Ross,56,6,15626
Fast Times at Ridgemont High,27092880,27092880,NA,4500000,13-Aug-82,NA,NA,Universal,Based on Book/Short Story,Comedy,Contemporary Fiction,Amy Heckerling,80,7.2,31362
Fighting Tommy Riley,10514,10514,NA,300000,6-May-05,R,NA,Freestyle Releasing,Original Screenplay,Drama,NA,NA,NA,6.6,499
The First Wives Club,105489203,181489203,NA,30000000,20-Sep-96,PG,90,Paramount Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,Hugh Wilson,41,5.6,14682
Flirting with Disaster,14853474,14853474,NA,7000000,22-Mar-96,R,NA,Miramax,Original Screenplay,Comedy,Contemporary Fiction,David O. Russell,86,6.7,8474
For Your Eyes Only,54800000,195300000,NA,28000000,26-Jun-81,NA,NA,MGM,Based on Book/Short Story,Action,Contemporary Fiction,John Glen,71,6.8,23527
Fiza,623791,1179462,NA,1000000,8-Sep-00,Not Rated,NA,Video Sound,Original Screenplay,Drama,Contemporary Fiction,NA,NA,6.5,749
Grip: A Criminal's Story,1336,1336,NA,12000,28-Apr-06,Not Rated,NA,JeTi Films,Original Screenplay,Action,Contemporary Fiction,NA,NA,NA,NA
The Ghost and the Darkness,38564422,38564422,NA,55000000,11-Oct-96,R,109,Paramount Pictures,Based on Real Life Events,Action,Dramatization,Stephen Hopkins,51,6.6,19735
Gallipoli,5732587,5732587,NA,3000000,28-Aug-81,NA,NA,NA,NA,NA,NA,Peter Weir,86,7.7,14139
Gabriela,2335352,2335352,NA,50000,16-Mar-01,R,NA,Power Point Films,Original Screenplay,Drama,Contemporary Fiction,NA,NA,5.5,1399
"Il buono, il brutto, il cattivo",6100000,6100000,NA,1200000,29-Dec-67,NA,NA,United Artists,Original Screenplay,Western,Historical Fiction,Sergio Leone,NA,6.8,104
Graduation Day,23894000,23894000,NA,250000,1-May-81,NA,NA,NA,NA,Thriller/Suspense,NA,NA,NA,3,836
The Godfather: Part II,57300000,57300000,NA,13000000,11-Dec-74,NA,NA,Paramount Pictures,NA,NA,Historical Fiction,Francis Ford Coppola,NA,9,245271
The Godfather: Part III,66520529,66520529,NA,54000000,25-Dec-90,NA,NA,Paramount Pictures,NA,Drama,Historical Fiction,Francis Ford Coppola,NA,7.6,82977
Goodfellas,46743809,46743809,NA,25000000,19-Sep-90,NA,NA,Warner Bros.,Based on Book/Short Story,Drama,Dramatization,Martin Scorsese,97,8.8,229156
The Godfather,134966411,268500000,NA,7000000,15-Mar-72,NA,NA,Paramount Pictures,NA,NA,Historical Fiction,Francis Ford Coppola,100,9.2,411088
God's Army,2637726,2652515,NA,300000,10-Mar-00,PG,NA,Excel Entertainment,Original Screenplay,Drama,Contemporary Fiction,NA,50,6.8,638
The Great Escape,11744471,11744471,NA,4000000,8-Aug-63,NA,NA,MGM,NA,NA,NA,John Sturges,91,8.4,62074
Gory Gory Hallelujah,12604,12604,NA,425000,21-Jan-05,Not Rated,100,Indican Pictures,Original Screenplay,Musical,NA,Sue Corcoran,NA,5.2,134
Ghost,217631306,517600000,NA,22000000,13-Jul-90,NA,NA,Paramount Pictures,Original Screenplay,Drama,Fantasy,Jerry Zucker,81,6.9,51125
Ghostbusters,238632124,291632124,NA,30000000,8-Jun-84,PG,NA,Sony Pictures,Original Screenplay,Comedy,Science Fiction,Ivan Reitman,NA,6.8,358
Girl 6,4880941,4880941,NA,12000000,22-Mar-96,R,NA,Fox Searchlight,Original Screenplay,Comedy,Contemporary Fiction,Spike Lee,34,4.9,3348
Goldeneye,106429941,356429941,NA,60000000,17-Nov-95,PG-13,NA,MGM,Based on Book/Short Story,Action,Contemporary Fiction,Martin Campbell,80,7.2,69199
The Glimmer Man,20404841,36404841,NA,45000000,4-Oct-96,R,92,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,NA,13,4.9,7230
Glory,26593580,26593580,NA,18000000,14-Dec-89,NA,NA,Sony Pictures,Based on Book/Short Story,Action,Dramatization,Edward Zwick,93,8,56427
The Gambler,51773,101773,NA,3000000,4-Aug-99,R,NA,NA,NA,Drama,NA,NA,NA,6.1,199
Good Morning Vietnam,123922370,123922370,NA,13000000,23-Dec-87,NA,NA,Walt Disney Pictures,Original Screenplay,Comedy,Historical Fiction,Barry Levinson,NA,7.2,32609
Gandhi,52767889,52767889,NA,22000000,8-Dec-82,NA,NA,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Sir Richard Attenborough,85,8.2,50881
A Guy Named Joe,5363000,5363000,NA,2627000,24-Dec-43,NA,NA,MGM,Original Screenplay,Drama,NA,NA,NA,6.9,869
Gentleman's Agreement,7800000,7800000,NA,2000000,NA,NA,NA,NA,NA,NA,NA,Elia Kazan,83,7.4,4637
Get on the Bus,5691854,5691854,NA,2400000,16-Oct-96,R,NA,Sony Pictures,Based on Real Life Events,Drama,Historical Fiction,Spike Lee,87,6.7,2701
The Golden Child,79817937,79817937,NA,12000000,12-Dec-86,NA,NA,Paramount Pictures,Original Screenplay,Action,Fantasy,Michael Ritchie,26,5.4,14471
Good Dick,28835,28835,NA,200000,10-Oct-08,R,NA,Present Pictures/Morning Knight,Original Screenplay,Drama,Contemporary Fiction,NA,NA,6.4,3004
Goldfinger,51100000,124900000,NA,3000000,22-Dec-64,NA,NA,MGM,Based on Book/Short Story,Action,NA,Guy Hamilton,96,7.9,47095
Groundhog Day,70906973,70906973,NA,14600000,12-Feb-93,PG,NA,Sony/Columbia,Original Screenplay,Comedy,Fantasy,Harold Ramis,96,8.2,134964
Gremlins,148168459,148168459,NA,11000000,8-Jun-84,NA,NA,Warner Bros.,Original Screenplay,Comedy,Fantasy,Joe Dante,78,7,42163
Get Real,1152411,1152411,NA,2000000,30-Apr-99,R,NA,Paramount Pictures,Based on Play,Comedy,Contemporary Fiction,NA,NA,7.5,6026
Gremlins 2: The New Batch,41476097,41476097,NA,50000000,15-Jun-90,NA,NA,Warner Bros.,Original Screenplay,Comedy,Fantasy,Joe Dante,NA,6.1,22712
The Greatest Story Ever Told,15473333,15473333,NA,20000000,15-Feb-65,G,NA,MGM,Based on Book/Short Story,Drama,NA,David Lean,39,6.3,3300
The Gospel of John,4068087,4068087,NA,11000000,26-Sep-03,PG-13,NA,ThinkFilm,Original Screenplay,Drama,Dramatization,NA,NA,NA,NA
The Greatest Show on Earth,36000000,36000000,NA,4000000,10-Jan-52,NA,NA,NA,NA,NA,NA,NA,41,6.8,4264
The First Great Train Robbery,391942,391942,NA,6000000,2-Feb-79,NA,NA,United Artists,Based on Book/Short Story,Action,NA,Michael Crichton,NA,6.9,5141
Get Shorty,72021008,115021008,NA,30250000,20-Oct-95,R,NA,MGM,Based on Book/Short Story,Comedy,Contemporary Fiction,Barry Sonnenfeld,86,6.9,33364
Gettysburg,10731997,10731997,NA,25000000,8-Oct-93,NA,NA,New Line,NA,Drama,NA,NA,87,7.6,11215
Guiana 1838,227241,227241,NA,1000000,24-Sep-04,Not Rated,NA,RBC Radio,Based on Real Life Events,Drama,Dramatization,NA,NA,NA,NA
Gone with the Wind,198680470,390525192,NA,3900000,15-Dec-39,G,222,MGM,Based on Book/Short Story,Drama,Historical Fiction,George Cukor,97,8.2,78947
Happiness,2746453,5746453,NA,3000000,16-Oct-98,Not Rated,NA,Good Machine Releasing,Original Screenplay,Comedy,Contemporary Fiction,Todd Solondz,84,6.5,64
Harley Davidson and the Marlboro Man,7018525,7018525,NA,23000000,23-Aug-91,NA,NA,MGM,Original Screenplay,Action,Science Fiction,Simon Wincer,27,5.3,6995
Heavy Metal,19571091,19571091,NA,9300000,7-Aug-81,NA,NA,Sony/Columbia,Based on Comic/Graphic Novel,Adventure,Science Fiction,NA,60,6,45
Heartbeeps,6000000,6000000,NA,10000000,18-Dec-81,NA,NA,Universal,Original Screenplay,Comedy,Science Fiction,NA,NA,4.1,620
The Helix...  Loaded,3700,3700,NA,1000000,18-Mar-05,R,NA,Romar,Original Screenplay,Comedy,NA,NA,NA,1.5,486
Hang 'em High,6800000,6800000,NA,1800000,3-Aug-68,NA,NA,United Artists,Original Screenplay,Western,Historical Fiction,NA,93,6.9,10292
Hellraiser,14564000,14564000,NA,1000000,18-Sep-87,NA,NA,New World,Based on Book/Short Story,Horror,Fantasy,NA,63,7,22442
Hero,19487173,66787173,NA,42000000,2-Oct-92,NA,NA,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Stephen Frears,NA,6.4,323
Highlander III: The Sorcerer,13738574,13738574,NA,26000000,27-Jan-95,PG-13,NA,Miramax,Original Screenplay,Action,Fantasy,NA,NA,3.8,7763
Highlander,5900000,12900000,NA,16000000,7-Mar-86,R,NA,20th Century Fox,Original Screenplay,Action,Fantasy,Russell Mulcahy,66,7.2,40802
High Noon,8000000,8000000,NA,730000,NA,NA,NA,NA,NA,NA,NA,Fred Zinnemann,95,8.3,34163
History of the World: Part I,31672000,31672000,NA,11000000,12-Jun-81,NA,NA,20th Century Fox,Original Screenplay,Comedy,Historical Fiction,Mel Brooks,NA,6.5,16691
"Hello, Dolly",33208099,33208099,NA,24000000,16-Dec-69,NA,NA,NA,NA,NA,NA,NA,NA,4.4,254
Halloween II,25533818,25533818,NA,2500000,30-Oct-81,NA,NA,Universal,NA,Horror,Contemporary Fiction,Rick Rosenthal,27,4.9,12197
Halloween 3: Season of the Witch,14400000,14400000,NA,2500000,22-Oct-82,NA,NA,Universal,NA,Horror,Contemporary Fiction,NA,NA,3.8,12644
Halloween 4: The Return of Michael Myers,17768757,17768757,NA,5000000,1-Oct-88,NA,NA,Universal,NA,Horror,Fantasy,Dwight H. Little,23,5.6,11079
Halloween 5: The Revenge of Michael Myers,11642254,11642254,NA,6000000,13-Oct-89,NA,NA,Galaxy International Releasing,NA,Horror,Fantasy,NA,14,NA,NA
Halloween:  The Curse of Michael Myers,15126948,15126948,NA,5000000,29-Sep-95,R,NA,Miramax,NA,Horror,Contemporary Fiction,NA,NA,4.4,8576
Halloween,47000000,70000000,NA,325000,17-Oct-78,NA,NA,NA,NA,Horror,NA,John Carpenter,93,6,39866
Home Alone 2: Lost in New York,173585516,358994850,NA,20000000,20-Nov-92,PG,NA,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,Chris Columbus,21,5.8,51408
Home Alone,285761243,476684675,NA,15000000,16-Nov-90,PG,NA,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,Chris Columbus,47,7,79080
Home Movies,89134,89134,NA,400000,16-May-80,NA,NA,NA,NA,NA,NA,NA,NA,5.3,291
Hum to Mohabbt Karega,121807,121807,NA,2000000,26-May-00,Not Rated,NA,NA,NA,Drama,NA,NA,NA,3.6,74
The Hotel New Hampshire,5142858,5142858,NA,7500000,9-Mar-84,NA,NA,Orion Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,NA,69,5.8,4387
Henry V,10161099,10161099,NA,9000000,8-Nov-89,PG-13,NA,Goldwyn Entertainment,Based on Play,Action,Historical Fiction,Kenneth Branagh,100,7.9,14499
Housefull,1183658,14883658,NA,10100000,30-Apr-10,NA,NA,Eros Entertainment,NA,NA,NA,NA,NA,4.6,687
Hook,119654823,300854823,NA,70000000,11-Dec-91,NA,NA,Sony Pictures,Based on Book/Short Story,Adventure,Kids Fiction,Steven Spielberg,24,6.2,60159
House Party 2,19438638,19438638,NA,5000000,23-Oct-91,NA,NA,New Line,Original Screenplay,Comedy,Contemporary Fiction,NA,25,4.3,1596
Hocus Pocus,39360491,39360491,NA,28000000,16-Jul-93,NA,NA,Walt Disney Pictures,Original Screenplay,Comedy,Fantasy,NA,29,6,15893
The Howling,17985000,17985000,NA,1000000,10-Apr-81,NA,NA,NA,NA,NA,NA,Joe Dante,60,6.5,8731
High Plains Drifter,15700000,15700000,NA,15700000,1-Jan-72,NA,NA,Universal,Original Screenplay,Western,Historical Fiction,Clint Eastwood,NA,7.6,15718
Hoop Dreams,7768371,11768371,NA,700000,14-Oct-94,PG-13,NA,Fine Line,Based on Real Life Events,Documentary,Factual,NA,98,8,9492
Happy Gilmore,38623460,38623460,NA,10000000,16-Feb-96,PG-13,92,Universal,Original Screenplay,Comedy,Contemporary Fiction,Dennis Dugan,58,6.9,54111
The Hudsucker Proxy,2816518,14938149,NA,40000000,11-Mar-94,PG,NA,Warner Bros.,Original Screenplay,Comedy,NA,Joel Coen,58,7.4,32344
A Hard Day's Night,12299668,12299668,NA,560000,11-Aug-64,NA,NA,Universal,Original Screenplay,Comedy,Contemporary Fiction,NA,100,7.6,15291
Heroes,655538,655538,NA,400000,24-Oct-08,R,NA,Eros Entertainment,Original Screenplay,Adventure,Contemporary Fiction,NA,NA,6.1,505
The Hunt for Red October,120709866,200500000,NA,30000000,2-Mar-90,NA,NA,Paramount Pictures,Based on Book/Short Story,Thriller/Suspense,Historical Fiction,John McTiernan,95,7.6,55202
Harper,12000000,12000000,NA,3500000,23-Feb-66,NA,NA,NA,NA,NA,NA,NA,NA,7,2395
Harriet the Spy,26570048,26570048,NA,13000000,10-Jul-96,PG,101,Paramount Pictures,Based on Book/Short Story,Adventure,Kids Fiction,NA,45,5.8,2963
Le hussard sur le toit,1320043,1320043,NA,35000000,19-Apr-96,R,NA,Miramax,Based on Book/Short Story,Drama,Historical Fiction,NA,NA,6.9,3083
The Hustler,7600000,7600000,NA,2000000,25-Sep-61,NA,NA,NA,NA,NA,NA,NA,97,8.1,25385
Hud,10000000,10000000,NA,2500000,29-May-63,NA,NA,NA,NA,NA,NA,Martin Ritt,79,3.4,93
Hudson Hawk,17218916,17218916,NA,65000000,24-May-91,NA,NA,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Michael Lehmann,20,5.3,21920
Heaven's Gate,3484331,3484331,NA,44000000,19-Nov-80,NA,NA,NA,NA,NA,NA,Michael Cimino,NA,6.5,4649
Hav Plenty,2301777,2301777,NA,650000,19-Jun-98,R,NA,Miramax,Original Screenplay,Comedy,Contemporary Fiction,NA,NA,5.6,580
House of Wax,23800000,23800000,NA,658000,10-Apr-53,R,NA,NA,NA,NA,NA,NA,94,5.4,32159
Hawaii,34562222,34562222,NA,15000000,10-Oct-66,NA,NA,MGM,NA,NA,NA,George Roy Hill,NA,6.4,1153
Howard the Duck,16295774,16295774,NA,30000000,1-Aug-86,NA,NA,Universal,Based on Comic/Graphic Novel,Action,Science Fiction,NA,16,4.1,16051
High Anxiety,31063038,31063038,NA,3400000,23-Dec-77,NA,NA,NA,NA,NA,NA,Mel Brooks,73,6.5,7025
Hybrid,162605,162605,NA,200000,10-May-02,Not Rated,NA,Indican Pictures,Based on Real Life Events,Documentary,Factual,NA,NA,2.2,380
It's a Wonderful Life,6600000,6600000,19339789,3180000,NA,NA,NA,NA,NA,NA,NA,Frank Capra,94,8.7,101499
The Ice Pirates,13075390,13075390,NA,9000000,16-Mar-84,NA,NA,MGM/UA Classics,Original Screenplay,Comedy,Science Fiction,NA,11,5.1,3600
Independence Day,306169255,817400878,NA,75000000,2-Jul-96,PG-13,145,20th Century Fox,Original Screenplay,Adventure,Science Fiction,Roland Emmerich,61,6.5,149493
The Island of Dr. Moreau,27682712,27682712,NA,40000000,23-Aug-96,PG-13,95,New Line,Based on Book/Short Story,Adventure,Science Fiction,John Frankenheimer,23,4.1,13770
In Her Line of Fire,884,884,NA,1000000,21-Apr-06,R,NA,Regent Releasing,Original Screenplay,Action,Contemporary Fiction,NA,NA,3.5,337
The Indian in the Cupboard,35627222,35627222,NA,45000000,14-Jul-95,PG,NA,Paramount Pictures,Based on Book/Short Story,Adventure,Kids Fiction,Frank Oz,68,5.7,4836
I Love You Ö Don't Touch Me!,33598,33598,NA,68000,20-Feb-98,NA,NA,MGM,NA,NA,NA,NA,NA,5.6,298
Illuminata,836641,836641,NA,10000000,6-Aug-99,R,NA,Artisan,Based on Play,Drama,Historical Fiction,NA,NA,6.1,1100
In Cold Blood,13000000,13000000,NA,3500000,NA,NA,NA,NA,NA,NA,NA,Richard Brooks,88,8.1,10562
